Model,Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Location
MarutiRitzVXIBS,196999,114109,2010,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwiftVDI,566399,70952,2015,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwiftDzireVDIBS,335599,80394,2013,Second Owner,Petrol,MANUAL,Kolkata
MarutiRitzVXI,208199,56276,2009,Second Owner,Petrol,MANUAL,Jaipur
HyundaiElitei20MAGNA1.4,588399,110531,2015,First Owner,Petrol,MANUAL,Coimbatore
HyundaiGrandi10ERA1.2,345799,23794,2014,First Owner,Petrol,MANUAL,Chennai
MarutiWagonR1.0LXI,242499,88514,2015,Second Owner,Petrol,AUTOMATIC,Mumbai
HondaCitySMT,242299,76901,2009,First Owner,Petrol,AUTOMATIC,Delhi
MarutiSwiftVXI,241699,103401,2008,First Owner,Petrol,MANUAL,Kochi
HyundaiSantroXingGL,288099,55945,2011,First Owner,Petrol,MANUAL,Bangalore
HyundaiGrandi10MAGNA1.2,303399,106064,2013,First Owner,Petrol,AUTOMATIC,Kochi
HyundaiElitei20SPORTZ,544699,35153,2016,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireVXI1.2BS,354699,135829,2013,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiElitei20SPORTZ,552899,58361,2016,First Owner,Petrol,MANUAL,Kochi
MarutiRitzVXIBS,294599,45465,2014,First Owner,Petrol,AUTOMATIC,Hyderabad
HyundaiVernaFLUIDIC1.6SX,415499,49718,2013,First Owner,Diesel,MANUAL,Coimbatore
MarutiEeco5STRWITHAC,389899,32883,2017,Third Owner,Petrol,MANUAL,Mumbai
HyundaiSantroXingXOERLXEURO,215599,82791,2007,First Owner,Diesel,AUTOMATIC,Hyderabad
Hyundaii20MAGNAO,235699,71611,2011,First Owner,Petrol,MANUAL,Coimbatore
MarutiCiazVDI,491399,103867,2014,First Owner,Petrol,AUTOMATIC,Kolkata
HyundaiElitei20SPORTZ,554899,109448,2016,First Owner,Petrol,MANUAL,Kolkata
MarutiSwiftDzire,281499,97436,2010,First Owner,Petrol,MANUAL,Delhi
MarutiAStar,199899,68714,2010,Third Owner,Petrol,AUTOMATIC,Hyderabad
MahindraScorpio,1117599,72706,2017,First Owner,Petrol,MANUAL,Kochi
MarutiSwiftDzire,193499,89412,2008,First Owner,Petrol,AUTOMATIC,Pune
ToyotaEtios,262499,170425,2011,First Owner,Petrol,MANUAL,Bangalore
RenaultDusterRXZ85PS,867399,32783,2017,First Owner,Petrol,MANUAL,Chennai
MarutiVitaraBrezza,935399,4566,2019,First Owner,Petrol,AUTOMATIC,Bangalore
MarutiDzireVDI,653399,13492,2018,First Owner,Petrol,AUTOMATIC,Delhi
MarutiCelerioVXI,475299,20324,2018,Second Owner,Petrol,MANUAL,Coimbatore
MarutiErtiga,479999,62769,2014,First Owner,Petrol,MANUAL,Jaipur
HondaBrio1.2SMTI,338799,29104,2015,First Owner,Petrol,MANUAL,Ahmedabad
MarutiSwiftDzireVDIBS,333099,95472,2012,First Owner,Petrol,AUTOMATIC,Delhi
HondaCityVXMT,606399,90509,2015,First Owner,Petrol,MANUAL,Coimbatore
DatsunGoREMIX,330699,34119,2018,First Owner,Petrol,MANUAL,Kochi
MarutiSwift,661399,27055,2019,First Owner,Petrol,MANUAL,Hyderabad
MarutiRitz,271499,16061,2012,First Owner,Diesel,MANUAL,Kolkata
SkodaLauraAMBITION2.0TDICR,322499,109457,2012,Second Owner,Petrol,MANUAL,Hyderabad
MarutiWagonR1.0,149181,62834,2010,First Owner,Petrol,AUTOMATIC,Pune
DatsunGoREMIX,283090,19549,2018,Fourth Owner,Petrol,AUTOMATIC,Pune
MarutiAlto800,324399,3495,2019,First Owner,Petrol,AUTOMATIC,Hyderabad
HondaBrio1.2SMTI,277599,23210,2012,First Owner,Diesel,AUTOMATIC,Mumbai
HondaCitySVMT,731019,52528,2016,Second Owner,Petrol,MANUAL,Mumbai
HyundaiElitei20SPORTZ,522366,13900,2016,First Owner,Petrol,MANUAL,Pune
HyundaiVerna1.6SX(O)CRDI,955799,50529,2017,First Owner,Diesel,MANUAL,Ahmedabad
VolkswagenPoloCOMFORTLINE1.2L,272299,45711,2010,First Owner,Petrol,MANUAL,Kolkata
MarutiBalenoDELTADDIS,600399,24274,2018,First Owner,Petrol,MANUAL,Pune
MarutiSwift,461122,60626,2012,First Owner,Petrol,MANUAL,Delhi
MarutiWagonR1.0LXI,381699,29735,2017,Second Owner,Petrol,MANUAL,Delhi
ToyotaEtiosVX,472499,56782,2015,First Owner,Petrol,MANUAL,Chennai
MarutiEeco5STRWITHAC,343299,29027,2015,First Owner,Petrol,MANUAL,Jaipur
MahindraKuv100K6D6,404786,38594,2016,First Owner,Petrol,AUTOMATIC,Coimbatore
HondaBrio1.2SMTI,301299,43702,2013,First Owner,Petrol,AUTOMATIC,Chennai
MarutiSwift,376199,68628,2014,First Owner,Petrol,AUTOMATIC,Kochi
MarutiErtigaVDI,748899,69604,2018,First Owner,Petrol,MANUAL,Jaipur
VolkswagenPoloHIGHLINE1.2L,320699,125435,2010,First Owner,Diesel,MANUAL,Hyderabad
HondaCitySMT,257599,85362,2009,First Owner,Petrol,MANUAL,Coimbatore
MarutiAltoK10VXI(O),388899,39845,2018,First Owner,Petrol,AUTOMATIC,Pune
HyundaiCreta1.6SX,1017499,67987,2016,First Owner,Diesel,AUTOMATIC,Delhi
MarutiSwiftDzireVXI1.2BS,282096,90479,2011,Second Owner,Petrol,MANUAL,Delhi
MarutiSwiftDzireLDIBS,340899,123363,2014,First Owner,Petrol,AUTOMATIC,Bangalore
MarutiEeco5STRWITHAC,278999,50754,2014,First Owner,Petrol,MANUAL,Delhi
MarutiWagonR1.0,235499,93112,2010,First Owner,Petrol,AUTOMATIC,Coimbatore
HyundaiEonERA,202699,50877,2012,First Owner,Petrol,MANUAL,Hyderabad
MarutiCiazZETA1.5SHVSVVT,936799,11400,2018,Second Owner,Petrol,MANUAL,Hyderabad
Hyundaii20ASTA1.4,356499,68559,2012,Second Owner,Petrol,AUTOMATIC,Kochi
MarutiAlto,156299,41402,2011,First Owner,Petrol,AUTOMATIC,Kochi
VolkswagenJettaCOMFORTLINE2.0L,382199,105572,2012,First Owner,Petrol,MANUAL,Jaipur
HyundaiGrandi10SPORTZ1.2KAPPA,480299,25338,2016,First Owner,Petrol,MANUAL,Kolkata
HyundaiEonMAGNA,211499,28323,2014,First Owner,Petrol,MANUAL,Delhi
MarutiSwift,377899,111379,2013,First Owner,Petrol,AUTOMATIC,Hyderabad
MarutiWagonR1.0LXI,181999,153709,2013,Second Owner,Petrol,MANUAL,Delhi
Hyundaii10SPORTZ1.2AT,408899,22768,2013,First Owner,Petrol,MANUAL,Kochi
VolkswagenPoloCOMFORTLINE1.5L,424499,133921,2015,Second Owner,Diesel,AUTOMATIC,Delhi
SkodaRapid1.5TDIMT,752999,40267,2017,Second Owner,Petrol,MANUAL,Delhi
RenaultDusterRXLAMT110,495299,85369,2016,First Owner,Petrol,MANUAL,Mumbai
MahindraScorpio,1192799,23836,2017,Second Owner,Petrol,AUTOMATIC,Coimbatore
MarutiWagonR1.0,346677,30361,2013,First Owner,Petrol,MANUAL,Delhi
MarutiDzire,583799,12400,2017,First Owner,Petrol,AUTOMATIC,Coimbatore
TataHexaVaricor400,1380699,27929,2018,First Owner,Petrol,MANUAL,Chennai
MarutiRitz,224999,80575,2012,Second Owner,Diesel,AUTOMATIC,Kochi
MarutiSCrossZETA,681399,42045,2017,Second Owner,Petrol,MANUAL,Chennai
MarutiRitz,212299,72428,2012,First Owner,Petrol,MANUAL,Delhi
HyundaiSantroXing,145999,98143,2010,First Owner,Petrol,AUTOMATIC,Ahmedabad
MarutiSwiftDzireVDIBS,353768,98618,2012,First Owner,Petrol + CNG,MANUAL,Chennai
MarutiRitz,216799,97984,2013,First Owner,Petrol + CNG,MANUAL,Pune
HyundaiVernaFLUIDIC1.6SXVTVT,430799,51641,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftVXI,504737,94628,2018,Third Owner,Petrol,MANUAL,Pune
MarutiEeco5STRCNGWITHAC,316653,45174,2015,First Owner,Petrol,MANUAL,Kochi
ToyotaCorollaAltisVL,462199,86288,2011,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10MAGNA1.2,343199,11234,2011,First Owner,Diesel,MANUAL,Bangalore
MahindraTUV300,635099,36705,2015,Second Owner,Petrol,AUTOMATIC,Kochi
HondaCityVXMT,726106,28410,2015,First Owner,Petrol,MANUAL,Kochi
MarutiVitaraBrezzaZDI,932099,20273,2019,First Owner,Petrol,MANUAL,Kochi
MarutiWagonR,202999,54572,2008,First Owner,Petrol,AUTOMATIC,Kolkata
VolkswagenVentoHIGHLINE,341799,87834,2013,Second Owner,Diesel,AUTOMATIC,Hyderabad
MarutiAlto800,223399,33341,2015,First Owner,Petrol,MANUAL,Hyderabad
HyundaiSantroXingGL,193780,136543,2011,First Owner,Petrol,AUTOMATIC,Coimbatore
FordFigo1.2ZXI,231199,102644,2010,Second Owner,Petrol,AUTOMATIC,Delhi
MarutiNewWagon-RVXI,473490,44040,2019,First Owner,Petrol,AUTOMATIC,Kolkata
MarutiWagonR1.0LXI,239499,88691,2012,First Owner,Petrol,MANUAL,Chennai
MahindraTharCRDE4X4BS,950499,7961,2019,First Owner,Petrol,AUTOMATIC,Pune
MarutiSwiftDzireVDIBS,326199,57730,2012,First Owner,Petrol,AUTOMATIC,Kochi
MarutiSwiftDzire,384599,72105,2012,Second Owner,Petrol,AUTOMATIC,Coimbatore
VolkswagenPoloHIGHLINE1.2L,317799,50372,2011,First Owner,Diesel,MANUAL,Coimbatore
HondaCityVXMTO,706899,93031,2016,Second Owner,Petrol,MANUAL,Hyderabad
Hyundaii20ASTA,283400,46121,2012,Second Owner,Petrol,MANUAL,Mumbai
HyundaiEonERA,193582,57951,2012,First Owner,Petrol,MANUAL,Kolkata
MarutiAltoK10VXI,310199,26025,2015,First Owner,Petrol,MANUAL,Pune
HondaBrio1.2SMTI,306599,64537,2013,First Owner,Diesel,MANUAL,Kochi
MarutiIGNISDELTA1.2K12,502199,17424,2017,Second Owner,Petrol + CNG,MANUAL,Mumbai
VolkswagenVentoHIGHLINE,244349,87793,2010,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiErtiga,380599,81227,2012,First Owner,Petrol,MANUAL,Mumbai
MarutiAlto800,332799,3201,2017,First Owner,Petrol + CNG,AUTOMATIC,Mumbai
HyundaiSantroXing,210099,82748,2009,First Owner,Petrol,MANUAL,Mumbai
HyundaiSantroXingGL,177499,60908,2012,First Owner,Petrol,AUTOMATIC,Mumbai
VolkswagenPoloCOMFORTLINE1.2L,256399,63748,2013,First Owner,Diesel,AUTOMATIC,Mumbai
AudiQ335TDI,1608699,87155,2015,First Owner,Petrol,AUTOMATIC,Mumbai
AudiQ335TDI,1697199,30500,2015,First Owner,Diesel,MANUAL,Mumbai
MarutiEeco5STRCNGWITHAC,399799,72425,2017,Second Owner,Petrol,AUTOMATIC,Mumbai
HyundaiVernaFLUIDIC1.6EXCRDI,377499,119439,2013,First Owner,Petrol,MANUAL,Mumbai
MarutiVitaraBrezza,598699,60027,2016,First Owner,Petrol,MANUAL,Mumbai
FordEcosport1.5TITANIUMTIVCT,544299,71487,2014,Second Owner,Petrol,MANUAL,Mumbai
MarutiZenEstilo,214499,31830,2011,First Owner,Petrol,AUTOMATIC,Mumbai
DatsunGo,189299,27123,2014,Second Owner,Petrol,MANUAL,Mumbai
MarutiSwift,301899,112723,2012,First Owner,Petrol,MANUAL,Mumbai
HondaAmaze1.2EMTI,371299,45940,2015,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiCelerioZXI,396899,25538,2017,First Owner,Petrol,MANUAL,Mumbai
BMW3Series320D,954099,104921,2012,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10MAGNA1.1,306799,31584,2014,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiWagonR1.0LXI,324899,26141,2015,Second Owner,Petrol,MANUAL,Mumbai
HyundaiCreta1.6SXPLUS,931399,41831,2017,First Owner,Petrol,MANUAL,Mumbai
MarutiAltoK10,322599,19792,2017,First Owner,Petrol,MANUAL,Mumbai
FordEcosport1.5TITANIUMTIVCT,556199,46594,2015,Second Owner,Petrol,MANUAL,Mumbai
FordEcosport,733290,20861,2018,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireVXI1.2BS,484799,39550,2015,Second Owner,Petrol,MANUAL,Mumbai
HondaCityZX1.5,125199,188651,2007,Fourth Owner,Petrol,MANUAL,Mumbai
VolkswagenPoloHIGHLINE1.2L,466699,45500,2016,First Owner,Petrol,MANUAL,Mumbai
MarutiWagonR1.0LXI,479914,28560,2018,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10MAGNA,149199,72565,2009,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiCelerioVXI,504699,24060,2019,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii20MAGNAO1.4,358999,56549,2014,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii20SPORTZ1.2,510299,21100,2014,First Owner,Diesel,MANUAL,Mumbai
Hyundaii20MAGNAO,325999,48219,2012,First Owner,Diesel,AUTOMATIC,Mumbai
Hyundaii10SPORTZ1.2,239599,107693,2013,First Owner,Petrol,MANUAL,Mumbai
MarutiVitaraBrezzaZDIPLUSDUAL,783199,35989,2016,Second Owner,Petrol,MANUAL,Mumbai
MarutiRitz,232999,68342,2012,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiRitz,279799,104928,2010,First Owner,Petrol + CNG,MANUAL,Mumbai
SkodaSuperbELEGANCE1.8TSI,433399,84474,2012,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftLXI,470799,61191,2016,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiSantroXingXLERLXEURO,104289,124360,2007,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiGrandi10ASTA1.1(O),391199,64460,2014,First Owner,Diesel,AUTOMATIC,Mumbai
HyundaiGrandi10MAGNA1.2,372099,49341,2015,First Owner,Diesel,AUTOMATIC,Mumbai
HondaCityVMT,657599,65099,2015,Second Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10MAGNA1.1,279599,87828,2012,Second Owner,Diesel,MANUAL,Mumbai
HyundaiElitei20SPORTZ,637199,46056,2017,First Owner,Petrol,MANUAL,Mumbai
AudiA62.0,1319868,176188,2013,Second Owner,Petrol,MANUAL,Mumbai
Hyundaii10MAGNA1.2,296899,63546,2011,First Owner,Diesel,MANUAL,Mumbai
Hyundaii10MAGNA1.1,330699,26939,2015,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiCreta1.6E+,801499,26151,2017,First Owner,Diesel,AUTOMATIC,Mumbai
RenaultDuster85PS,484699,67407,2015,Second Owner,Petrol,MANUAL,Mumbai
MarutiOMNIE8,172399,40141,2014,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwift,556363,11784,2018,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiWagonR1.0LXI,301599,121435,2013,Second Owner,Petrol,MANUAL,Mumbai
Hyundaii20MAGNA1.2,275099,82682,2009,First Owner,Diesel,MANUAL,Mumbai
HyundaiEonDLITE,237899,27748,2013,First Owner,Diesel,MANUAL,Mumbai
MarutiWagonR1.0,248899,70903,2010,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireVXI1.2BS,538199,78713,2015,Second Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftDzireVXI1.2BS,495899,56518,2013,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii20MAGNA1.2,168099,119575,2009,First Owner,Diesel,MANUAL,Mumbai
MarutiCelerio,479500,10412,2019,First Owner,Diesel,MANUAL,Mumbai
HondaAmaze1.2EXMTI,330799,71800,2014,First Owner,Petrol,MANUAL,Mumbai
HyundaiSantroXingGL,263299,49419,2011,First Owner,Diesel,MANUAL,Mumbai
FordFigo1.4EXI,177499,109104,2013,Second Owner,Petrol,MANUAL,Mumbai
HyundaiEonERA,338999,3308,2018,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiWagonR1.0LXI,322321,43781,2015,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiRitzVXIBS,420299,34146,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiCiazZXI,473899,107589,2015,First Owner,Petrol + CNG,MANUAL,Mumbai
HyundaiElitei20ASTA1.4,561299,79445,2015,First Owner,Petrol,MANUAL,Mumbai
HyundaiElitei20SPORTZ,728166,32307,2017,First Owner,Petrol,AUTOMATIC,Mumbai
ChevroletBeatPS,144097,98452,2012,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiAltoK10,255299,38617,2012,Second Owner,Diesel,MANUAL,Mumbai
HondaCitySMT,259899,99003,2009,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftVDI,390399,92527,2015,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiElitei20MAGNA1.4,514299,169453,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiAlto,174699,34854,2010,First Owner,Petrol,MANUAL,Mumbai
HondaBrio1.2VXMTI,266099,65667,2013,First Owner,Petrol,MANUAL,Mumbai
ToyotaInnova2.5VX8STRBS,926599,143740,2014,Second Owner,Diesel,AUTOMATIC,Mumbai
MarutiCiazDELTA1.5SHVS,737299,23999,2018,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10MAGNA,180599,89576,2009,Second Owner,Diesel,AUTOMATIC,Mumbai
ToyotaCorollaAltisD4D,464899,137352,2011,First Owner,Petrol,MANUAL,Mumbai
MarutiErtiga,530899,98137,2015,First Owner,Diesel,MANUAL,Mumbai
HyundaiGrandi10Sportz1.2,486299,41100,2017,First Owner,Petrol,MANUAL,Mumbai
MarutiWagonR1.0LXI,346799,56607,2014,First Owner,Petrol,MANUAL,Mumbai
MarutiSX4ZXIMTLEATHERBS,131199,150248,2008,First Owner,Petrol,MANUAL,Mumbai
HyundaiEonERA,204799,83546,2014,Second Owner,Diesel,MANUAL,Mumbai
ToyotaEtiosLiva,274499,21763,2011,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftDzireLDIBS,305199,122165,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftDzireVDIBS,352499,46299,2012,Second Owner,Petrol + CNG,AUTOMATIC,Mumbai
MarutiWagonR1.0,318079,18325,2013,Second Owner,Petrol,AUTOMATIC,Mumbai
SkodaRapid1.6TDIMT,427799,63473,2012,Second Owner,Petrol,MANUAL,Mumbai
Hyundaii10,228099,79620,2007,First Owner,Diesel,MANUAL,Mumbai
ToyotaFortuner3.0MT,1045599,96301,2012,First Owner,Petrol,MANUAL,Mumbai
VolkswagenPoloTRENDLINE1.2L,256099,42069,2012,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiCelerioVXI,362199,123057,2016,First Owner,Petrol,MANUAL,Mumbai
HyundaiGrandi10MAGNA1.2KAPPA,413899,34558,2016,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiOMNIE8,168699,147413,2015,Second Owner,Petrol,MANUAL,Mumbai
MarutiWagonR1.0,267599,32808,2012,First Owner,Petrol,AUTOMATIC,Mumbai
BMW5Series,551681,94020,2008,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireVDIBS,316838,75435,2012,First Owner,Petrol,MANUAL,Mumbai
HondaCityVMT,478699,40028,2013,First Owner,Diesel,MANUAL,Mumbai
MarutiSX4,187199,9961,2008,First Owner,Diesel,AUTOMATIC,Mumbai
FordEcosport1.5TITANIUMTDCI,440099,151247,2014,Second Owner,Petrol,AUTOMATIC,Mumbai
MarutiBalenoDELTADDIS,571599,63898,2016,Second Owner,Petrol,MANUAL,Mumbai
HondaCityVMT,369099,74017,2012,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiBalenoALPHA1.2,524399,76914,2015,First Owner,Petrol + LPG,MANUAL,Mumbai
MarutiCelerioVXI,535599,9878,2019,First Owner,Diesel,AUTOMATIC,Mumbai
Hyundaii20MAGNA1.2,218799,86164,2009,Second Owner,Petrol,MANUAL,Mumbai
MarutiRitz,344399,64475,2015,Third Owner,Petrol,MANUAL,Mumbai
MarutiAltoK10,322699,8604,2018,First Owner,Diesel,MANUAL,Mumbai
MarutiRitz,271299,54237,2013,First Owner,Diesel,AUTOMATIC,Mumbai
FordFigo1.4EXI,176499,108709,2014,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftVDI,373299,154513,2015,Second Owner,Petrol,MANUAL,Mumbai
HyundaiGrandi10MAGNA1.2KAPPA,383399,35915,2015,First Owner,Petrol,MANUAL,Mumbai
ToyotaCorollaAltis1.8,227099,91612,2009,First Owner,Diesel,MANUAL,Mumbai
TataTIAGOJTP,603340,14039,2019,First Owner,Petrol,MANUAL,Mumbai
Hyundaii20MAGNA1.2,171699,222973,2010,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftVXI,213413,79169,2009,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireLXI1.2BS,327699,59387,2011,Second Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii20SPORTZ1.2,253199,74934,2010,Second Owner,Petrol,AUTOMATIC,Mumbai
HyundaiVernaFLUIDIC1.6SX,498099,120745,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiWagonR1.0,199599,65611,2011,Second Owner,Diesel,MANUAL,Mumbai
HondaCityVMT,423299,136859,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiBalenoALPHADDIS,630780,69278,2016,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiWagonR1.0,320699,70993,2015,Second Owner,Petrol,AUTOMATIC,Mumbai
FordFigo1.2TITANIUM,141599,49821,2010,First Owner,Petrol,MANUAL,Mumbai
RenaultKwid,335999,14665,2019,Third Owner,Petrol,MANUAL,Mumbai
MarutiBalenoZETA1.2,665315,20333,2017,First Owner,Petrol,MANUAL,Mumbai
Hyundaii20ASTA,500599,56580,2014,First Owner,Petrol,AUTOMATIC,Mumbai
HondaAmaze1.5SMTI,256399,125008,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftDzireVDIBS,418499,107099,2012,First Owner,Diesel,MANUAL,Mumbai
MarutiBalenoDELTA1.2,453299,90025,2015,First Owner,Petrol,AUTOMATIC,Mumbai
ToyotaEtiosLiva,344599,89919,2012,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftDzireVDIBS,449999,42679,2013,Second Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireVDIBS,441299,70192,2012,Second Owner,Petrol,AUTOMATIC,Mumbai
MarutiErtiga,605499,24825,2015,First Owner,Diesel,MANUAL,Mumbai
MarutiSwift,433099,79144,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiSwiftLXI,366699,73411,2015,First Owner,Petrol,AUTOMATIC,Mumbai
MahindraTUV300,528099,50455,2017,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiAlto,173399,29879,2008,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiOMNIE8,354599,4110,2017,Second Owner,Diesel,AUTOMATIC,Mumbai
HyundaiCreta1.6SXPLUS,894499,56895,2016,First Owner,Diesel,MANUAL,Mumbai
HyundaiCreta1.6E+,925999,9294,2019,First Owner,Diesel,AUTOMATIC,Mumbai
Hyundaii20SPORTZ1.2,291899,63467,2013,First Owner,Diesel,MANUAL,Mumbai
SkodaFabiaELEGANCE1.2,227999,64274,2010,First Owner,Diesel,MANUAL,Mumbai
MarutiSwift,388499,72754,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiSwiftLXI,109199,98656,2009,First Owner,Diesel,MANUAL,Mumbai
RenaultKwidRXT,301599,40290,2016,First Owner,Diesel,AUTOMATIC,Mumbai
HyundaiGrandi10MAGNA1.2KAPPA,335499,42170,2014,First Owner,Petrol,MANUAL,Mumbai
HondaAmaze1.2VXMTI,321799,45278,2013,Second Owner,Petrol,MANUAL,Mumbai
RenaultKwidRXT1.0EASY-R,365099,12255,2016,First Owner,Petrol,MANUAL,Mumbai
MarutiSwift,371399,60422,2013,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10MAGNA1.2,248599,210904,2013,First Owner,Petrol,MANUAL,Mumbai
MarutiAltoK10LXI,389703,23963,2016,Second Owner,Petrol,AUTOMATIC,Mumbai
MarutiDzire,691699,11404,2017,Second Owner,Petrol,MANUAL,Mumbai
RenaultKwid,379999,38933,2016,First Owner,Petrol,MANUAL,Mumbai
RenaultDuster85PS,322068,103665,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MahindraXUV500,1167456,49189,2018,First Owner,Petrol,AUTOMATIC,Mumbai
VolkswagenPoloHIGHLINE1.5L,592599,59325,2015,Second Owner,Diesel,AUTOMATIC,Mumbai
MarutiSwiftVDI,429499,66476,2015,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiCelerio,232199,148559,2015,Second Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10SPORTZ1.2,305199,114748,2012,First Owner,Diesel,MANUAL,Mumbai
MahindraXUV500W8,889799,84778,2015,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiWagonR1.0,250499,98462,2012,First Owner,Petrol,MANUAL,Mumbai
VolkswagenPoloTRENDLINE1.2L,206083,73625,2012,First Owner,Diesel,MANUAL,Mumbai
HyundaiEonERA,186399,129837,2013,First Owner,Petrol,AUTOMATIC,Mumbai
HondaAmaze1.5SXMTI,370899,113188,2014,First Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii10MAGNA1.1,221199,33582,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiWagonR1.0,310199,48335,2013,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiCiazDELTA1.5SHVSVVT,819699,17483,2018,First Owner,Diesel,AUTOMATIC,Mumbai
BMWX1SDRIVE,1011799,63035,2013,First Owner,Petrol,MANUAL,Mumbai
HyundaiVernaFLUIDIC1.6SXVTVT,270500,71292,2011,Second Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftVDI,419699,46856,2015,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiSantroXingGL,254899,20500,2014,Second Owner,Petrol,AUTOMATIC,Mumbai
Hyundaii20SPORTZ1.2,309599,78129,2011,First Owner,Petrol + CNG,MANUAL,Mumbai
Hyundaii10MAGNA1.1,264950,57657,2013,First Owner,Petrol,MANUAL,Mumbai
TataTiagoXZ1.05,336599,125598,2017,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiRitzVXIABS,282599,45651,2014,First Owner,Diesel,MANUAL,Mumbai
HondaCitySVMT,861999,28213,2019,Third Owner,Petrol,AUTOMATIC,Mumbai
MarutiAlto800,274599,24679,2012,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiAltoK10,214599,58304,2015,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiBalenoALPHA1.2,556999,16232,2016,First Owner,Diesel,MANUAL,Mumbai
MarutiSwiftDzireVXI1.2BS,459599,70649,2015,Second Owner,Diesel,MANUAL,Mumbai
HyundaiGrandi10SPORTZ1.2KAPPA,436399,247836,2016,First Owner,Diesel,AUTOMATIC,Mumbai
MarutiSwiftDzireVXI1.2BS,384799,95093,2013,First Owner,Diesel,AUTOMATIC,Mumbai
ToyotaCorollaH31.8,144099,98229,2007,Fourth Owner,Petrol,AUTOMATIC,Mumbai
TataNEXONXZ+,657699,21127,2018,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwiftDzireVDIBS,516399,32957,2014,First Owner,Petrol,AUTOMATIC,Mumbai
